,0
0,12439.0869140625
1,11387.974609375
2,11993.2041015625
3,14929.1044921875
4,11998.5166015625
5,10862.1904296875
6,11567.3564453125
7,13725.365234375
8,11762.9677734375
9,6598.552734375
10,11217.544921875
11,11206.40625
12,10965.2138671875
13,10934.658203125
14,10876.12109375
15,7828.50830078125
16,10472.8720703125
17,9407.0419921875
18,10093.955078125
19,10300.0322265625
20,9571.2431640625
21,11350.05078125
22,9360.701171875
23,9732.15234375
24,9473.0205078125
25,5290.9931640625
26,8591.3798828125
27,8458.87890625
28,8492.7236328125
29,5105.072265625
30,7617.509765625
31,7647.4267578125
32,7307.13330078125
33,5343.8955078125
34,6513.4892578125
35,6597.68994140625
36,6046.32861328125
37,5010.935546875
38,5473.12744140625
39,4055.0869140625
40,4768.970703125
41,4125.037109375
42,4041.67431640625
43,3925.0947265625
44,3051.4453125
45,5102.7890625
46,2698.992431640625
47,3097.229248046875
48,1932.15576171875
49,3455.896240234375
50,1650.068359375
51,1653.4033203125
52,1203.326416015625
53,1154.3599853515625
54,888.98876953125
55,712.2454223632812
56,494.9134521484375
57,1028.68212890625
58,484.8047180175781
59,246.5028533935547
60,400.2281188964844
61,228.35035705566406
62,390.2442321777344
63,326.50177001953125
64,504.84246826171875
65,167.46168518066406
66,326.2386474609375
67,1241.9326171875
68,367.8520202636719
69,1255.80615234375
70,620.4003295898438
71,245.42544555664062
72,600.2424926757812
73,193.76287841796875
74,467.9869689941406
75,494.7843933105469
76,295.627685546875
77,951.8665161132812
78,225.83351135253906
79,1009.6597290039062
80,589.40576171875
81,211.83383178710938
82,608.3158569335938
83,125.82645416259766
84,235.60255432128906
85,1331.454833984375
86,565.9886474609375
87,308.2884216308594
88,596.1630249023438
89,225.2420196533203
90,575.14208984375
91,303.2443542480469
92,585.1680908203125
93,260.18414306640625
94,276.2862243652344
95,1221.97216796875
96,591.5800170898438
97,179.33668518066406
98,457.0082092285156
99,582.7232666015625
100,492.41046142578125
101,365.8409423828125
102,596.4490356445312
103,60.7094612121582
104,428.2279052734375
105,489.0009765625
106,539.0511474609375
107,171.85693359375
108,331.7478332519531
109,705.5077514648438
110,523.8751220703125
111,181.6350555419922
112,269.9082336425781
113,843.2036743164062
114,254.02365112304688
115,873.2919921875
116,472.61175537109375
117,302.3438415527344
118,546.2530517578125
119,90.80973052978516
120,456.9470520019531
121,273.8441162109375
122,435.2227783203125
123,313.7991638183594
124,484.8798828125
125,187.99374389648438
126,550.4457397460938
127,27.337692260742188
128,363.25323486328125
129,438.58099365234375
130,499.884521484375
131,118.4053955078125
132,451.7496337890625
133,218.94053649902344
134,399.01324462890625
135,332.8833923339844
136,516.79248046875
137,56.23649978637695
138,480.98211669921875
139,131.63380432128906
140,394.4549255371094
141,300.0585632324219
142,432.1773986816406
143,217.64418029785156
144,465.8536071777344
145,141.27822875976562
146,359.3486328125
147,349.6437683105469
148,366.4242248535156
149,323.2983093261719
150,438.683837890625
151,169.65817260742188
152,461.7147521972656
153,115.76673889160156
154,439.5906066894531
155,152.51516723632812
156,179.88677978515625
157,663.3008422851562
158,486.13763427734375
159,47.494319915771484
160,322.90673828125
161,347.48089599609375
162,187.67141723632812
163,580.5289916992188
164,348.0565185546875
165,289.7120361328125
166,435.596435546875
167,120.90608978271484
168,354.1733093261719
169,258.9432067871094
170,346.2913513183594
171,265.341064453125
172,244.48118591308594
173,437.4267578125
174,415.6471252441406
175,126.18161010742188
176,291.334716796875
177,338.6673583984375
178,264.5574951171875
179,379.50213623046875
180,241.9497528076172
181,374.06146240234375
182,403.6678161621094
183,111.01652526855469
184,344.71173095703125
185,198.78271484375
186,283.0855407714844
187,291.41180419921875
188,195.6836395263672
189,425.5506286621094
190,285.2342529296875
191,275.24749755859375
192,358.6378173828125
193,152.74911499023438
194,399.01007080078125
195,81.87567138671875
196,186.21725463867188
197,417.35626220703125
198,282.9939880371094
199,255.673828125
200,184.76849365234375
201,375.27606201171875
202,297.87432861328125
203,207.32952880859375
204,122.6183090209961
205,455.40478515625
206,171.8761749267578
207,379.8999938964844
208,280.960693359375
209,217.09555053710938
210,346.65899658203125
211,117.40637969970703
212,201.7960662841797
213,325.3655090332031
214,345.50872802734375
215,110.11298370361328
216,289.19964599609375
217,187.03135681152344
218,200.25807189941406
219,311.9611511230469
220,225.70037841796875
221,250.09107971191406
222,209.5680694580078
223,267.7276916503906
224,333.7152099609375
225,98.45650482177734
226,260.77789306640625
227,192.957275390625
228,354.73565673828125
229,63.40943908691406
230,161.09420776367188
231,319.50372314453125
232,294.95208740234375
233,135.68080139160156
234,222.286865234375
235,229.45489501953125
236,304.5481262207031
237,117.87357330322266
238,245.5118408203125
239,191.8935089111328
240,199.1851806640625
241,231.16075134277344
242,156.8989715576172
243,280.44964599609375
244,189.4951934814453
245,238.56204223632812
246,213.7611083984375
247,205.46270751953125
248,217.8873748779297
249,197.59475708007812
250,161.24749755859375
251,265.34600830078125
252,178.10910034179688
253,240.95701599121094
254,245.4873809814453
255,155.9346923828125
256,187.65570068359375
257,224.227783203125
258,130.3215789794922
259,292.90838623046875
260,169.56744384765625
261,226.3501739501953
262,192.6544952392578
263,197.88504028320312
264,215.14395141601562
265,170.16078186035156
266,277.6377868652344
267,96.07598876953125
268,286.83245849609375
269,83.17805480957031
270,163.48731994628906
271,221.1342010498047
272,201.5808563232422
273,176.48257446289062
274,220.35079956054688
275,153.5867919921875
276,233.56289672851562
277,135.43255615234375
278,98.76171112060547
279,286.97149658203125
280,239.51715087890625
281,197.72108459472656
282,245.03021240234375
283,189.7549591064453
284,260.28924560546875
285,170.89569091796875
286,215.17724609375
287,217.12623596191406
288,279.4801025390625
289,146.21624755859375
290,214.00772094726562
291,214.83412170410156
292,209.16867065429688
293,217.879150390625
294,214.47283935546875
295,209.9500274658203
296,288.940673828125
297,128.5234375
298,273.441650390625
299,143.2602996826172
300,148.87673950195312
301,261.9176025390625
302,197.22091674804688
303,211.96734619140625
304,207.75396728515625
305,199.87298583984375
306,255.38720703125
307,149.9386444091797
308,221.56793212890625
309,182.12095642089844
310,197.345703125
311,205.18511962890625
312,180.04873657226562
313,219.45217895507812
314,330.93292236328125
315,66.84303283691406
316,197.5491943359375
